'HW'	'BOD'
8	2.5
6.19999980926514	4
9.19999980926514	4.09999990463257
6.40000009536743	6.19999980926514
8.60000038146973	7.09999990463257
12.1999998092651	7
7.19999980926514	8.30000019073486
12	9.19999980926514
14.8999996185303	9.30000019073486
12.1000003814697	12
15.3000001907349	12.1999998092651
14.8000001907349	12.6000003814697
14.3000001907349	14.1999998092651
16.2999992370605	14.3999996185303
17.8999996185303	15.1000003814697
19.5	15.1999998092651
17.5	16.2999992370605
14.3000001907349	17.1000003814697
18.2999992370605	17.8999996185303
16.2000007629395	17.8999996185303
